slug	endodymn	endonym_en_001
ar-001	العربية	Arabic
bg-001	Български	Bulgarian
bh-001	भोजपुरी	Bhojpuri
bn-001	বাংলা	Bengali
cs-001	Čeština	Czech
cy-001	Cymraeg	Welsh
da-001	Dansk	Danish
de-001	Deutsch	German
el-001	Ελληνικά	Greek
en-001	English	English
en-150	English - Europe	English - Europe
en-gb	English - Great Britain	English - English - Great Britain
en-us	English - United States	English - English - United States
es-001	Español	Spanish
et-001	Eesti	Estonian
eu-001	Euskara	Basque
fa-001	فارسی	Persian
fi-001	Suomi	Finnish
fr-001	Français	French
ga-001	Gaeilge	Irish
gu-001	ગુજરાતી	Gujarati
ha-001	Harshen Hausa	Hausa
hi-001	हिन्दी	Hindi
hr-001	Hrvatski	Croatian
hu-001	Magyar	Hungarian
id-001	Bahasa Indonesia | Indonesian
it-001	Italiano	Italian
ja-001	日本語	Japanese
jv-001	Basa Jawa	Javanese
ko-001	한국어	Korean
lt-001	Lietuvių	Lithuanian
lv-001	Latviešu	Latvian
mr-001	मराठी	Marathi
mt-001	Malti	Maltese
nl-001	Nederlands	Dutch
pa-001	ਪੰਜਾਬੀ	Punjabi
pl-001	Polski	Polish
pt-001	Português	Portuguese
ro-001	Română	Romanian
ru-001	Русский	Russian
sk-001	Slovenčina	Slovak
sl-001	Slovenščina	Slovenian
sv-001	Svenska	Swedish
ta-001	தமிழ்	Tamil
te-001	తెలుగు	Telugu
tr-001	Türkçe	Turkish
ur-001	اردو	Urdu
vi-001	Tiếng Việt	Vietnamese
zh-001	普通话	Chinese
